 ('2024-5-18', 0.593707684190951),
 ('2024-5-19', 0.5914840654534923),
 ('2024-5-20', 0.5825171688206565),
 ('2024-5-21', 0.5802623481557059),
 ('2024-5-22', 0.5765711443351018),
 ('2024-5-23', 0.5695769071579723),
 ('2024-5-24', 0.5546339861324543),
 ('2024-5-25', 0.5589204397792984),
 ('2024-5-26', 0.554304171129819),
 ('2024-5-27', 0.5506413933986328),
 ('2024-5-28', 0.5528475387539085),
 ('2024-5-29', 0.5515171746503137),
 ('2024-5-30', 0.5476780669087923),
 ('2024-5-31', 0.5469706179317763),
 ('2024-6-1', 0.5501446591425299),
 ('2024-6-2', 0.5420972060490467),
 ('2024-6-3', 0.5429281649365985),
 ('2024-6-4', 0.5508630489971666),
 ('2024-6-5', 0.5482794712918316),
 ('2024-6-6', 0.5499409210067734),
 ('2024-6-7', 0.5469007797251801),
 ('2024-6-8', 0.5478575339951057),
 ('2024-6-9', 0.5405718107494333),
 ('2024-6-10', 0.5415171540677842),
 ('2024-6-11', 0.5450431409972064),
 ('2024-6-12', 0.45610053494997405),
 ('2024-6-13', 0.45111438805228027),
 ('2024-6-14', 0.45931224366834406),
 ('2024-6-15', 0.4816878061296598),
 ('2024-6-16', 0.474635541402938),
 ('2024-6-17', 0.478318802810236),
 ('2024-6-18', 0.5016914981669368),
 ('2024-6-19', 0.501514687527589),
 ('2024-6-20', 0.5010662588647443),
 ('2024-6-21', 0.5050170765578855),
 ('2024-6-22', 0.504168593195206),
 ('2024-6-23', 0.5030111706952513),
 ('2024-6-24', 0.5060323564630885),
 ('2024-6-25', 0.5116431010222477),
 ('2024-6-26', 0.5146063720242259),
 ('2024-6-27', 0.516346928255155)]
